namespace,key,label::fr,label::en,label_one::fr,label_one::en
household,addGroupedObject,Ajouter une personne manquante,Add a missing person,,
household,deleteThisGroupedObject,Supprimer cette personne,Delete this person,,
home,popup.homeOwnershipTitle,Pourquoi cette question?,Why this question?,,
home,popup.homeOwnershipContent,"**Pourquoi cette question?**
Le statut d’occupation du logement (locataire ou propriétaire) est associé à des comportements de mobilité différents. Cette information nous permet de mieux interpréter les résultats de l’enquête et de nous assurer que les données recueillies sont représentatives de l’ensemble des ménages de la région.","**Why this question?**
Housing occupancy status (renter or homeowner) is associated with different mobility behaviors. This information allows us to better interpret the survey results and ensures that the collected data is representative of all households in the region.",,
home,popup.householdSizeTitle,Qui inclure dans ce nombre?,Who should be included in this number?,,
home,popup.householdSizeContent,"**Qui inclure dans ce nombre?**
<span class=""_green"">Inclure :</span>
- Vous-même
- Les enfants en garde partagée s'ils étaient présents à votre domicile le <span class=""_green"">{{assignedDate}}</span>
Les chambreuses, les chambreurs et colocataires, ainsi que tous ceux et celles qui vivent en communauté domestique","**Who should be included in this number?**
<span class=""_green"">Include :</span>
- Yourself
- Children in shared custody if they were present at your home on <span class=""_green"">{{assignedDate}}</span>
- Roommates and housemates, as well as all people living in a shared household community",,
home,home_carParkingsAvailableVehicleHousehold_one,"**Stationnement(s) disponible(s) au domicile** pour le véhicule de votre ménage. 
__Vous pouvez laisser cette question vide si aucun choix ne s’applique à votre situation__","**Parking** available at home for your household's vehicle
__You may leave this question blank if none of the options apply to your situation.__",,
home,popup.householdCarNumberTitle,Quels véhicules inclure dans ce nombre?,Which vehicles should be included in this number?,,
home,popup.householdCarNumberContent,"**Quels véhicules inclure?**
<span class=""_green"">Inclure :</span> 
- Les automobiles, VUS, camions légers, camions et fourgonnettes
- Les véhicules fournis ou loués par un employeur que les membres de votre ménage utilisent pour aller au travail ou pour des raisons personnelles
<span class=""_red"">Ne pas inclure :</span> 
- Les mobylettes, scooters et motos (à essence ou électriques)
- Les véhicules d’autopartage
- Un véhicule stationné au lieu de travail utilisé exclusivement pour le travail
- Les véhicules remisés ou de collection utilisés rarement","**Which vehicles should be included?**
<span class=""_green"">Include:</span>
- Cars, SUVs, light trucks, trucks, and vans
- Vehicles provided or leased by an employer that members of your household use for commuting or personal reasons
<span class=""_red"">Do not include:</span>
- Mopeds, scooters, and motorcycles (gas or electric)
- Car-sharing vehicles
- A vehicle parked at the workplace and used exclusively for work
- Stored or collector vehicles used rarely",,
home,popup.householdTwoWheelTitle,Quels véhicules inclure dans ce nombre?,Which vehicles should be included in this number?,,
home,popup.householdTwoWheelContent,"**Quels véhicules inclure?**
<span class=""_green"">Inclure :</span> 
- Les mobylettes, scooters et motos (à essence ou électriques)
<span class=""_red"">Ne pas inclure :</span> 
- Les automobiles, VUS, camions légers, camions et fourgonnettes
- Les vélos ou vélos électriques
- Les trottinettes ou trottinettes électriques","**Which vehicles should be included?**
<span class=""_green"">Include:</span>
- Mopeds, and motorcycles (gas or electric)
<span class=""_red"">Do not include:</span>
- Cars, SUVs, light trucks, trucks, and vans
- Bicycles or electric bicycles
- Scooters or electric scooters",,
household,popup.studentTitle,Qui inclure?,Who should be included?,,
household,popup.studentContent,"**Qui considérer comme étudiant?** 
<span class=""_green"">Inclure :</span>
- Tous les étudiants et élèves à partir de 15 ans, indépendamment du niveau d'enseignement.
- Toute personne suivant des cours de façon régulière via un établissement.
- Toute personne actuellement en stage / alternance / apprentissage, mais inscrite dans un établissement d'enseignement.
<span class=""_red"">Ne pas inclure</span> les formations ponctuelles ou en ligne, les cours particuliers, etc.","**Who should be considered a student?**
<span class=""_green"">Include:</span>
- All students and pupils aged 15 and over, regardless of level of education
- Anyone taking regular courses through an educational institution
- Anyone currently in an internship, apprenticeship, or co-op program, but enrolled in an educational institution
<span class=""_red"">Do not include:</span>
- One-time or online training courses
- Private lessons, etc.",,
household,popup.workerTitle,Qui inclure?,Who should be included?,,
household,popup.workerContent,"**Qui considérer comme travailleur?** 
<span class=""_green"">Inclure </span> toute personne avec un emploi ou une entreprise, même si temporairement absente au moment de répondre (par exemple : congé de maladie, congé parental, vacances, mise à pied temporaire). 
<span class=""_green"">Inclure </span>  le travail salarié ou à son compte.
<span class=""_red"">Ne pas inclure</span> les personnes sans emploi et ne cherchant pas de travail.","**Who should be considered a worker?**
<span class=""_green"">Include:</span>
- Anyone with a job or a business, even if temporarily absent at the time of responding (e.g., sick leave, parental leave, vacation, temporary layoff)
- Both salaried employees and self-employed workers
<span class=""_red"">Do not include:</span>
- People without a job and not looking for work",,
segments,segmentsIntroOnTheRoad,"Veuillez indiquer tous les modes de transport utilisés pour effectuer les déplacements sur la route, dans l'ordre chronologique:","Please indicate all modes of transport used to complete work trip on the road, in chronological order:",,
segments,segmentsIntroStroll,"Veuillez indiquer tous les modes de transport utilisés pour effectuer la promenade, dans l'ordre chronologique:","Please indicate all modes of transport used to complete the stroll, in chronological order:",,
segments,junctionGeographyRefreshGeocodingLabel,Chercher le lieu de jonction à partir du nom ou de l'adresse,Search the junction location using the place name or address,,
segments,driverFamily,Ami ou famille,Friend or family,,
segments,driverColleague,Un collègue de travail ou d'études,A work colleague or fellow classmate,,
segments,driverTaxi,Chauffeur Taxi ou Uber,Taxi or Uber driver,,
segments,driverTransitTaxi,Chauffeur Taxi collectif / transport à la demande,Taxibus / On-demand transport driver,,
segments,driverParaTransit,Chauffeur Transport adapté,Para-transit driver,,
segments,driverCarpool,"Chauffeur Covoiturage (ex: Amigo Express, Kangaride)","Carsharing driver (ex: Amigo Express, Kangaride)",,
segments,driverOther,Une autre personne,Another person,,
segments,driverDontKnow,Je ne sais pas,I don't know,,
segments,driverFamilyMemberSeq,Personne {{sequence}},Person {{sequence}},,
visitedPlaces,Activity,Spécifier :,Specify :,,
visitedPlaces,ActivityCategoryFirstLocation,Activité principale au lieu de départ de la journée,Main activity carried out at the starting point of the day,,
visitedPlaces,ActivityCategoryAfterHome,Activité principale au premier lieu visité dans la journée après avoir quitté le domicile,Main activity carried out at the first location visited after leaving home,,
visitedPlaces,ActivityCategory,Activité principale à ce lieu,Main activity carried out at this location,,
visitedPlaces,VisitedPlaceSequence,Lieu {{count}},Location #{{count}},Lieu de départ de la journée,Departure place for this day
visitedPlaces,ConfirmDeleteVisitedPlace,Confirmez-vous que vous voulez retirer ce lieu?,Do you confirm that you want to remove this location?,,
visitedPlaces,LocationNameAddress,Nom ou adresse du lieu,Name or address of the place,,
visitedPlaces,LocationNameAddressExample_workUsual,"Édifice du Phare, CPE les petits génies","Lighthouse building, Les Petits génies CPE",,
visitedPlaces,LocationNameAddressExample_workUsual_onTheRoadOften,"Centre de distribution Rivières, Resto St-Hubert Alma","Rivière distribution center, Alma St-Hubert BBQ",,
visitedPlaces,LocationNameAddressExample_workNotUsual,"Palais des congrès de Montréal, Le Co-work du lac Long","Chateau Frontenac, Co-work on the Long lake",,
visitedPlaces,LocationNameAddressExample_schoolUsual,"École Marguerite-Bourgeoys, Collège CDI Québec, UQAR","Marguerite-Bourgeoys school, CDI College Québec, UQAR",,
visitedPlaces,LocationNameAddressExample_schoolNotUsual,"Bibliothèque à Livre ouvert, École de musique Dorémi","National library, music school Doremi",,
visitedPlaces,LocationNameAddressExample_shopping,"Centre d’achat Le Carrefour, Provigo St-Félicien, IKEA Boucherville","Le Carrefour shopping mall, Provigo St-Félicien, IKEA Boucherville",,
visitedPlaces,LocationNameAddressExample_restaurant,"Normandin de Lévis, Snack bar chez Raymond, Resto Subway de Rawdon","Normandin in Lévis, Snack bar chez Raymond, Subway restaurant in Rawdon",,
visitedPlaces,LocationNameAddressExample_dropSomeone,"Gare d’autocar, Aréna des Collines, École des Pionniers","Central bus station, des Collines arena, des Pionniers high school",,
visitedPlaces,LocationNameAddressExample_fetchSomeone,"Gare d’autocar, Aréna des Collines, École des Pionniers","Central bus station, des Collines arena, des Pionniers high school",,
visitedPlaces,LocationNameAddressExample_leisureArtsMusicCulture,"Cinéma des chutes, Théâtre de Verdure, Musée national des petits pots Masson","Des chutes cinema, de Verdure Theatre, Mason Jar National Museum",,
visitedPlaces,LocationNameAddressExample_leisureSports,"Nautilus St-Georges, Escalade La Grimpe, Parc de la Rose","Nautilus St-Georges, Climbing La Grimpe, de la Rose Park",,
visitedPlaces,LocationNameAddressExample_leisureTourism,"Camping Ste-Madeleine, Paris France, Hôtel Days Inn St-Flavien","Camping Ste-Madeleine, Paris*France, Hotel Days Inn St-Flavien",,
visitedPlaces,LocationNameAddressExample_leisureStroll,"Parc au bord de l’eau, Petit train du nord, Stroll de la Montagne","Waterside park, Petit train du nord, de la Montagne promenade",,
visitedPlaces,LocationNameAddressExample_visiting,"Addresse de la personne visitée, Coin des Rossignols et de l’Étang","Address of the visited person, corner des Rossignols and de l’Étang",,
visitedPlaces,LocationNameAddressExample_medical,"Clinique Médicale des Marguerites, Hôpital régional de Rimouski, CLSC des Rivières","des Marguerites medical clinic, Rimouski regional hospital, des Rivières CLSC",,
visitedPlaces,LocationNameAddressExample_service,"Coiffure Dans le Vent, Caisse Desjardins de Limoilou","High class Hair saloon, Caisse Desjardins Limoilou",,
visitedPlaces,LocationNameAddressExample_worship,"Église Saint-Nicéphore, Mosquée de la Capitale, Synagogue Maison Chabad","Saint-Nicéphore church, de la Capitale mosque, Congregation Beth Israel Ohev Sholem",,
visitedPlaces,LocationNameAddressExample_secondaryHome,Adresse de la résidence secondaire ou du chalet,Secondary home or cottage address,,
visitedPlaces,LocationNameAddressExample_schoolNotStudent,"Institut Linguistique, École de conduite Tecnic","language centre, Tecnic driving school",,
visitedPlaces,visitedPlacePreviousPreviousDepartureTime_home_usualWorkPlace,{{nickname}} a quitté le domicile pour aller à son lieu habituel de travail à?,{{nickname}} left home to go to {{gender:his/her/their/their}} usual work place?,Vous avez quitté le domicile pour aller à votre lieu habituel de travail à?,You left home to go to your usual work place at?
visitedPlaces,visitedPlacePreviousPreviousDepartureTime_usualWorkPlace,{{nickname}} a quitté le lieu précédent ({{previousPlaceDescription}}) pour aller à son lieu habituel de travail à?,{{nickname}} left the previous location ({{previousPlaceDescription}}) to go to {{gender:his/her/their/their}} usual work place?,Vous avez quitté le lieu précédent ({{previousPlaceDescription}}) pour aller à votre lieu habituel de travail à?,You left the previous location ({{previousPlaceDescription}}) to go to your usual work place at?
visitedPlaces,visitedPlacePreviousArrivalTime_home,À quelle heure {{nickname}} est-{{gender :il/elle/iel/il(-elle)}} arriv{{gender:é/ée/é(e)/é(e)}} au domicile avant de débuter ses déplacements sur la route?,At what time did {{nickname}} arrive home before starting {{gender:his/her/their/their}} on the road trips?,À quelle heure êtes-vous arriv{{gender:é/ée/é(e)/é(e)}} au domicile avant de débuter vos déplacements sur la route?,At what time did you arrive home before starting your on the road trips?
visitedPlaces,visitedPlacePreviousArrivalTime_usualWorkPlace,À quelle heure {{nickname}} est-{{gender:il/elle/iel/il(-elle)/il(-elle)}} arriv{{gender:é/ée/é(e)/é(e)}} à son lieu de travail habituel avant de débuter ses déplacements sur la route?,At what time did {{nickname}} arrive at {{gender:his/her/their/their}} usual work place before starting {{gender:his/her/their/their}} on the road trips?,À quelle heure êtes-vous arriv{{gender:é/ée/é(e)/é(e)}} à votre lieu de travail habituel avant de débuter vos déplacements sur la route?,At what time did you arrive at your usual work place before starting your on the road trips?
visitedPlaces,visitedPlacePreviousDepartureTime_home_workUsual,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile pour aller au travail?,At what time did {{nickname}} leave home before going to work?,À quelle heure avez-vous quitté le domicile pour aller au travail?,At what time did you leave home before going to work?
visitedPlaces,visitedPlacePreviousDepartureTime_home_schoolUsual,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile pour aller au lieu d'études/école?,At what time did {{nickname}} leave home before going to school?,À quelle heure avez-vous quitté le domicile pour aller au lieu d'études/école?,At what time did you leave home before going to school?
